price_id;price_range
1261;CHF 17-CHF 110
1262;CHF 23-CHF 32
1263;CHF 20-CHF 24
1264;CHF 14-CHF 34
1265;CHF 10-CHF 24
1266;CHF 10-CHF 28
1267;CHF 6-CHF 18
1268;CHF 8-CHF 24
1269;CHF 3-CHF 11
1270;CHF 2-CHF 66
1271;CHF 18-CHF 32
1272;CHF 39-CHF 66
1273;CHF 28-CHF 71
1274;CHF 17-CHF 41
1275;CHF 7-CHF 15
1276;CHF 9-CHF 20
1277;CHF 33-CHF 77
1278;CHF 3-CHF 7
1279;CHF 10-CHF 53
1280;CHF 9-CHF 28
1281;CHF 32-CHF 83
1282;CHF 2-CHF 17
1283;CHF 11-CHF 24
1284;CHF 8-CHF 72
1285;CHF 23-CHF 27
1286;CHF 14-CHF 37
1287;CHF 7-CHF 33
1288;CHF 6-CHF 19
1289;CHF 8-CHF 20
1290;CHF 21-CHF 39
1291;CHF 13-CHF 24
1292;CHF 12-CHF 48
1293;CHF 7-CHF 13
1294;CHF 14-CHF 27
1295;CHF 43-CHF 88
1296;CHF 20-CHF 39
1297;CHF 2-CHF 44
1298;CHF 4-CHF 23
1299;CHF 6-CHF 20
1300;CHF 13-CHF 44
1301;CHF 13-CHF 33
1302;CHF 17-CHF 88
1303;CHF 11-CHF 44
1304;CHF 2-CHF 11
1305;CHF 8-CHF 27
1306;CHF 11-CHF 55
1307;CHF 15-CHF 35
1308;CHF 9-CHF 17
1309;CHF 6-CHF 50
1310;€8-€69
1311;CHF 44-CHF 66
1312;CHF 21-CHF 43
1313;CHF 27-CHF 40
1314;CHF 4-CHF 9
1315;CHF 3-CHF 3
1316;CHF 15-CHF 28
1317;CHF 4-CHF 25
1318;CHF 2-CHF 15
1319;CHF 13-CHF 20
1320;CHF 13-CHF 50
1321;CHF 14-CHF 38
1322;CHF 28-CHF 44
1323;CHF 16-CHF 29
1324;CHF 4-CHF 18
1325;CHF 20-CHF 55
1326;CHF 9-CHF 29
1327;CHF 6-CHF 28
1328;CHF 31-CHF 93
1329;CHF 18-CHF 43
1330;CHF 16-CHF 31
1331;CHF 13-CHF 28
1332;CHF 10-CHF 21
1333;CHF 7-CHF 22
1334;CHF 41-CHF 59
1335;CHF 10-CHF 23
1336;CHF 2-CHF 5
1337;CHF 10-CHF 13
1338;CHF 9-CHF 36
1339;CHF 11-CHF 14
1340;CHF 6-CHF 14
1341;CHF 3-CHF 17
1342;CHF 6-CHF 44
1343;CHF 9-CHF 27
1344;CHF 6-CHF 27
1345;CHF 11-CHF 15
1346;CHF 39-CHF 88
1347;CHF 39-CHF 110
1348;CHF 11-CHF 20
1349;CHF 7-CHF 25
1350;CHF 22-CHF 44
1351;CHF 11-CHF 33
1352;CHF 18-CHF 23
1353;CHF 6-CHF 23
1354;CHF 31-CHF 39
1355;CHF 31-CHF 50
1356;CHF 17-CHF 27
1357;CHF 22-CHF 53
1358;CHF 13-CHF 22
1359;CHF 14-CHF 32
1360;CHF 10-CHF 20
1361;CHF 17-CHF 46
1362;CHF 22-CHF 39
1363;CHF 18-CHF 54
1364;CHF 20-CHF 61
1365;CHF 11-CHF 39
1366;CHF 17-CHF 55
1367;CHF 9-CHF 30
1368;CHF 10-CHF 27
1369;CHF 10-CHF 19
1370;CHF 17-CHF 26
1371;CHF 2-CHF 6
1372;CHF 10-CHF 22
